aid_data_record_id,sector_name,title,description,staff_comments,combined_text,success,error_message,primary_class,confidence,project_type,justification,evidence
93028,HEALTH,"Chinese Government donates 470,000 Covid-19 vaccine doses worth $8.46 million in July 2021","On July 23, 2021, the Chinese Government donated 470,000 COVID-19 vaccine doses to the Government of Nigeria. The Chinese Ambassador to Nigeria, Cui Jianchun, made the donation to the Nigerian Minister of Health, Dr. Osagie Ehanire, in Abuja, Nigeria. The donation came after the Government of Nigeria had to stop administering vaccines on July 8, 2021 due to a lack of vaccine supply","1. According to the UNICEF COVID-19 Vaccine Market Dashboard, the price of a single Sinopharm or Sinovac COVID-19 vaccine dose is $18 (https://www.oecd.org/officialdocuments/publicdisplaydocumentpdf/?cote=DCD/DAC/STAT(2022)33&docLanguage=En). As such, AidData has estimated the monetary value of the July 2021 donation as $8.46 million.","# Sector
HEALTH

# Title
Chinese Government donates 470,000 Covid-19 vaccine doses worth $8.46 million in July 2021

# Description
On July 23, 2021, the Chinese Government donated 470,000 COVID-19 vaccine doses to the Government of Nigeria. The Chinese Ambassador to Nigeria, Cui Jianchun, made the donation to the Nigerian Minister of Health, Dr. Osagie Ehanire, in Abuja, Nigeria. The donation came after the Government of Nigeria had to stop administering vaccines on July 8, 2021 due to a lack of vaccine supply",TRUE,NA,NEUTRAL,HIGH,Healthcare and Education Facilities,Project is a healthcare donation with no direct environmental or energy transition impact,"COVID-19 vaccine donation, healthcare sector focus"
94524,EDUCATION,Chinese Embassy in Nigeria awards scholarships to Nigerian university students in November 2021,"On November 10, 2021, the Chinese Embassy in Nigeria awarded scholarships to 49 University of Abuja students. The awards represent cultural and educational exchanges between China and Nigeria. The monetary value of the scholarships is unknown.",NA,"# Sector
EDUCATION

# Title
Chinese Embassy in Nigeria awards scholarships to Nigerian university students in November 2021

# Description
On November 10, 2021, the Chinese Embassy in Nigeria awarded scholarships to 49 University of Abuja students. The awards represent cultural and educational exchanges between China and Nigeria. The monetary value of the scholarships is unknown.",TRUE,NA,NEUTRAL,HIGH,Social Development,Project focuses on educational scholarships without direct environmental or energy transition impacts,"Scholarships for university students, cultural and educational exchange focus"
97570,EDUCATION,Chinese Embassy awards scholarships worth  NGN 5 million to 50 Ahmadu Bello University students in Nigeria in December 2021,"On December 15, 2021, the Chinese Embassy in Nigeria awarded scholarships to fifty students of Ahmadu Bello University in Zaria, Nigeria for outstanding academic performance. The total value of the scholarships is NGN 5 million.",NA,"# Sector
EDUCATION

# Title
Chinese Embassy awards scholarships worth  NGN 5 million to 50 Ahmadu Bello University students in Nigeria in December 2021

# Description
On December 15, 2021, the Chinese Embassy in Nigeria awarded scholarships to fifty students of Ahmadu Bello University in Zaria, Nigeria for outstanding academic performance. The total value of the scholarships is NGN 5 million.",TRUE,NA,NEUTRAL,HIGH,Social Development,Scholarship program focused on education with no direct environmental or energy transition impact,"Scholarships awarded for academic performance, education sector focus"
97571,EDUCATION,PowerChina-Kunming Engineering Cooperation Limited donates Solar Equipment to Usman Dan Fodio University Communities in Nigeria in December 2021,"On December 14, 2021, PowerChina-Kunming Engineering Cooperation Limited donated 170 units of rural solar power photovoltaic equipment to Skipton Energy Research Centre in Usman Danfodiyo University Sokoto (UDUS). The monetary value of the donation is unknown.",NA,"# Sector
EDUCATION

# Title
PowerChina-Kunming Engineering Cooperation Limited donates Solar Equipment to Usman Dan Fodio University Communities in Nigeria in December 2021

# Description
On December 14, 2021, PowerChina-Kunming Engineering Cooperation Limited donated 170 units of rural solar power photovoltaic equipment to Skipton Energy Research Centre in Usman Danfodiyo University Sokoto (UDUS). The monetary value of the donation is unknown.",TRUE,NA,GREEN,HIGH,Solar Power,Primary purpose is solar power generation through donation of photovoltaic equipment,170 units of rural solar power photovoltaic equipment donated to university research center
96763,GOVERNMENT AND CIVIL SOCIETY,China sponsors new vehicles for Government of Niue,"On March 25, 2021, the Government of Niue announced that they received financing from China for the purchase of new vehicles to enable the Office of the Premier, Cabinet Ministers, and the Speaker of the Niue Assembly to perform public duties. The vehicles were electric, which supported Niue's Strategic Energy Roadmap.",NA,"# Sector
GOVERNMENT AND CIVIL SOCIETY

# Title
China sponsors new vehicles for Government of Niue

# Description
On March 25, 2021, the Government of Niue announced that they received financing from China for the purchase of new vehicles to enable the Office of the Premier, Cabinet Ministers, and the Speaker of the Niue Assembly to perform public duties. The vehicles were electric, which supported Niue's Strategic Energy Roadmap.",TRUE,NA,NEUTRAL,HIGH,Social Development,"Project focuses on government operations and public service delivery, with environmental benefits being secondary","Electric vehicles for government officials, supporting public duties and energy roadmap"
90381,EDUCATION,Chinese Embassy provides teaching equipment to Rajko Zinzifov elementary school in North Macedonia,"On December 28, 2021, the Chinese Embassy in North Macedonia provided teaching equipment to Rajko Zinzifov China-North Macedonian Friendship Junior School. The equipment included 12 tablets and various other school supplies. The monetary value of this donation is unknown. China’s Ambassador to North Macedonia, Zhang Zhuo, also inspected the school following this donation.  A handover ceremony was held for this donation. China’s Ambassador to North Macedonia, Zhang Zhuo, the Mayor of the Kisela Voda Municipality, Orsey Gjogievsky, and the principal of Rajko Zinzifov Junior School, Ms. Ljubica Naumowska, attended the ceremony.  Rajko Zinkif China-North Macedonian Friendship Primary School was built in 2013-2015 and is located in the Kisela Voda municipality of North Macedonia. The construction of this school was fully funded by the Chinese government and following completion of construction, the school was renamed Rajko Zinkif China-North Macedonian Friendship Junior School. China’s funding for this school is recorded in Project ID #42922.",NA,"# Sector
EDUCATION

# Title
Chinese Embassy provides teaching equipment to Rajko Zinzifov elementary school in North Macedonia

# Description
On December 28, 2021, the Chinese Embassy in North Macedonia provided teaching equipment to Rajko Zinzifov China-North Macedonian Friendship Junior School. The equipment included 12 tablets and various other school supplies. The monetary value of this donation is unknown. China’s Ambassador to North Macedonia, Zhang Zhuo, also inspected the school following this donation.  A handover ceremony was held for this donation. China’s Ambassador to North Macedonia, Zhang Zhuo, the Mayor of the Kisela Voda Municipality, Orsey Gjogievsky, and the principal of Rajko Zinzifov Junior School, Ms. Ljubica Naumowska, attended the ceremony.  Rajko Zinkif China-North Macedonian Friendship Primary School was built in 2013-2015 and is located in the Kisela Voda municipality of North Macedonia. The construction of this school was fully funded by the Chinese government and following completion of construction, the school was renamed Rajko Zinkif China-North Macedonian Friendship Junior School. China’s funding for this school is recorded in Project ID #42922.",TRUE,NA,NEUTRAL,HIGH,Social Development,Project focuses on education and school infrastructure without clear environmental or energy transition impacts,"Provision of teaching equipment and school construction, education sector focus"
93672,EDUCATION,Chinese Embassy provides online teaching equipment to Rade Jovchevski Korchagin High School in North Macedonia in November 2021,"On November 10, 2021, the Chinese Embassy provided online teaching equipment to ade Jovchevski Korchagin High School in North Macedonia. Yang Yuanchun, the wife of the Chinese Ambassador to North Macedonia, led a women's group to donate these supplies on behalf of the Chinese Embassy. The monetary value of this donation is unknown.   A handover ceremony was held for this donation. The wife of China’s Ambassador to North Macedonia, Yang Yuanchun, the Director of Education of the Skopje Municipal Government, the Deputy Director of International Cooperation, the principal of the Jovczewski Korchagin Middle School, and various teachers and students of the school attended the handover ceremony.",NA,"# Sector
EDUCATION

# Title
Chinese Embassy provides online teaching equipment to Rade Jovchevski Korchagin High School in North Macedonia in November 2021

# Description
On November 10, 2021, the Chinese Embassy provided online teaching equipment to ade Jovchevski Korchagin High School in North Macedonia. Yang Yuanchun, the wife of the Chinese Ambassador to North Macedonia, led a women's group to donate these supplies on behalf of the Chinese Embassy. The monetary value of this donation is unknown.   A handover ceremony was held for this donation. The wife of China’s Ambassador to North Macedonia, Yang Yuanchun, the Director of Education of the Skopje Municipal Government, the Deputy Director of International Cooperation, the principal of the Jovczewski Korchagin Middle School, and various teachers and students of the school attended the handover ceremony.",TRUE,NA,NEUTRAL,HIGH,Social Development,Project focuses on educational equipment donation without clear environmental or energy transition impacts,"Online teaching equipment donation, education sector focus, social development context"
93673,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,"Chinese Embassy donates 1,540,000 denars to provide support for the Berovo Renovation Project in North Macedonia","On November 26, 2021, Zhang Zuo, the Chinese Ambassador to North Macedonia signed a cooperation with the Director of the North Macedonia Presidential Office and the Director of Day Center for Children and Persons with Disabilities for China’s support on the Berovo Renovation project. This support includes funding for the renovation of the physio and hydro-therapy sensory rooms. China commits to donate 1,540,000 denars for the project.  On July 7, 2022, the project is completed.",NA,"# Sector
OTHER SOCIAL INFRASTRUCTURE AND SERVICES

# Title
Chinese Embassy donates 1,540,000 denars to provide support for the Berovo Renovation Project in North Macedonia

# Description
On November 26, 2021, Zhang Zuo, the Chinese Ambassador to North Macedonia signed a cooperation with the Director of the North Macedonia Presidential Office and the Director of Day Center for Children and Persons with Disabilities for China’s support on the Berovo Renovation project. This support includes funding for the renovation of the physio and hydro-therapy sensory rooms. China commits to donate 1,540,000 denars for the project.  On July 7, 2022, the project is completed.",TRUE,NA,NEUTRAL,HIGH,Social Development,Project focuses on social infrastructure and services without direct environmental or energy transition impacts,"Renovation of physio and hydro-therapy sensory rooms, donation for social development purposes"
93674,HEALTH,"PLA donates 100,000 Sinopharm Covid-19 vaccine doses worth $1.8 million in May 2021","On April 30, 2021, the Chinese Government delivered 200,000 donated doses of Sinopharm Covid-19 vaccines to the Government of North Macedonia. Then, on May 15, 2021, the People's Liberation Army (PLA) of China delivered another 100,000 donated doses of Sinopharm Covid-19 vaccines to North Macedonia's Ministry of Defense.  A handover ceremony took place for this donation in Skopje, the capital of North Macedonia. Zhang Zuo, the Chinese Ambassador to North Macedonia, the North Macedonian Minister of Defense, the Minister of Health, the North Macedonian Army Chief of Staff, and the Defense Attaché of the Embassy in North Macedonia jointly attended the ceremony. These officials also inspected the vaccines and supporting syringes, and signed the handover certificate. The April 2021 donation is captured via Project ID#93675 and the May 2021 donation is captured via Project ID#93674.","1. According to the UNICEF COVID-19 Vaccine Market Dashboard, the price of a single Sinopharm COVID-19 vaccine dose is $18 (https://www.oecd.org/officialdocuments/publicdisplaydocumentpdf/?cote=DCD/DAC/STAT(2022)33&docLanguage=En). As such, AidData has estimated the monetary value of the May 2021 donation as $1.8 million.","# Sector
HEALTH

# Title
PLA donates 100,000 Sinopharm Covid-19 vaccine doses worth $1.8 million in May 2021

# Description
On April 30, 2021, the Chinese Government delivered 200,000 donated doses of Sinopharm Covid-19 vaccines to the Government of North Macedonia. Then, on May 15, 2021, the People's Liberation Army (PLA) of China delivered another 100,000 donated doses of Sinopharm Covid-19 vaccines to North Macedonia's Ministry of Defense.  A handover ceremony took place for this donation in Skopje, the capital of North Macedonia. Zhang Zuo, the Chinese Ambassador to North Macedonia, the North Macedonian Minister of Defense, the Minister of Health, the North Macedonian Army Chief of Staff, and the Defense Attaché of the Embassy in North Macedonia jointly attended the ceremony. These officials also inspected the vaccines and supporting syringes, and signed the handover certificate. The April 2021 donation is captured via Project ID#93675 and the May 2021 donation is captured via Project ID#93674.",TRUE,NA,NEUTRAL,HIGH,Healthcare,Project involves donation of medical supplies without direct environmental or energy transition impacts,"Vaccine donation, healthcare focus, no energy or infrastructure components"
93675,HEALTH,"Chinese Government donates 200,000 Sinopharm Covid-19 vaccine doses worth $3.6 million in April 2021","On April 30, 2021, the Chinese Government delivered 200,000 donated doses of Sinopharm Covid-19 vaccines to the Government of North Macedonia. Then, on May 15, 2021, the People's Liberation Army (PLA) of China delivered another 100,000 donated doses of Sinopharm Covid-19 vaccines to North Macedonia's Ministry of Defense.  A handover ceremony took place for this donation in Skopje, the capital of North Macedonia. Zhang Zuo, the Chinese Ambassador to North Macedonia, the North Macedonian Minister of Defense, the Minister of Health, the North Macedonian Army Chief of Staff, and the Defense Attaché of the Embassy in North Macedonia jointly attended the ceremony. These officials also inspected the vaccines and supporting syringes, and signed the handover certificate. The April 2021 donation is captured via Project ID#93675 and the May 2021 donation is captured via Project ID#93674.","1. According to the UNICEF COVID-19 Vaccine Market Dashboard, the price of a single Sinopharm COVID-19 vaccine dose is $18 (https://www.oecd.org/officialdocuments/publicdisplaydocumentpdf/?cote=DCD/DAC/STAT(2022)33&docLanguage=En). As such, AidData has estimated the monetary value of the April 2021 donation as $3.6 million.","# Sector
HEALTH

# Title
Chinese Government donates 200,000 Sinopharm Covid-19 vaccine doses worth $3.6 million in April 2021

# Description
On April 30, 2021, the Chinese Government delivered 200,000 donated doses of Sinopharm Covid-19 vaccines to the Government of North Macedonia. Then, on May 15, 2021, the People's Liberation Army (PLA) of China delivered another 100,000 donated doses of Sinopharm Covid-19 vaccines to North Macedonia's Ministry of Defense.  A handover ceremony took place for this donation in Skopje, the capital of North Macedonia. Zhang Zuo, the Chinese Ambassador to North Macedonia, the North Macedonian Minister of Defense, the Minister of Health, the North Macedonian Army Chief of Staff, and the Defense Attaché of the Embassy in North Macedonia jointly attended the ceremony. These officials also inspected the vaccines and supporting syringes, and signed the handover certificate. The April 2021 donation is captured via Project ID#93675 and the May 2021 donation is captured via Project ID#93674.",TRUE,NA,NEUTRAL,HIGH,Healthcare,Project involves donation of medical supplies without direct environmental or energy transition impacts,"Donation of Covid-19 vaccines and supporting syringes, healthcare focus"
